"HGNC" "ENST"
"LAT2-002" "ENST00000460943.1"
"LATS1-001" "ENST00000543571.1"
"LATS2-001" "ENST00000382592.4"
"LAX1-002" "ENST00000442561.2"
"LBH-001" "ENST00000395323.3"
"LBR-001" "ENST00000272163.4"
"LCK-001" "ENST00000336890.5"
"LCLAT1-006" "ENST00000379509.3"
"LCMT1-001" "ENST00000399069.3"
"LCMT2-001" "ENST00000305641.5"
"LCOR-015" "ENST00000371103.3"
"LCORL-201" "ENST00000382226.5"
"LCP1-201" "ENST00000323076.2"
"LCP2-001" "ENST00000046794.5"
"LDB1-001" "ENST00000361198.5"
"LDHA-005" "ENST00000379412.5"
"LDHB-001" "ENST00000350669.1"
"LDLR-003" "ENST00000558518.1"
"LDLRAD4-201" "ENST00000361205.4"
"LDLRAP1-001" "ENST00000374338.4"
"LEF1-001" "ENST00000265165.1"
"LEMD2-001" "ENST00000293760.5"
"LEMD3-001" "ENST00000308330.2"
"LENG1-001" "ENST00000222224.3"
"LENG8-001" "ENST00000326764.5"
"LENG9-001" "ENST00000333834.4"
"LEO1-001" "ENST00000299601.5"
"LEPRE1-002" "ENST00000236040.4"
"LEPREL1-001" "ENST00000319332.5"
"LEPROT-001" "ENST00000371065.4"
"LEPROTL1-001" "ENST00000321250.8"
"LETM1-001" "ENST00000302787.2"
"LETM2-003" "ENST00000523983.2"
"LETMD1-001" "ENST00000262055.4"
"LGALS1-001" "ENST00000215909.5"
"LGALS3-001" "ENST00000254301.9"
"LGALS3BP-001" "ENST00000262776.3"
"LGALS8-008" "ENST00000527974.1"
"LGALS9-001" "ENST00000395473.2"
"LGMN-001" "ENST00000334869.4"
"LHFPL2-001" "ENST00000515007.1"
"LHPP-001" "ENST00000368842.5"
"LIAS-001" "ENST00000261434.3"
"LIG1-001" "ENST00000263274.7"
"LIG3-001" "ENST00000378526.4"
"LIG4-202" "ENST00000442234.1"
"LILRB1-005" "ENST00000396315.1"
"LILRB4-003" "ENST00000391733.3"
"LIMA1-001" "ENST00000394943.3"
"LIMD1-001" "ENST00000273317.4"
"LIMD2-001" "ENST00000259006.3"
"LIME1-006" "ENST00000309546.3"
"LIMK1-001" "ENST00000336180.2"
"LIMK2-001" "ENST00000331728.4"
"LIMS1-203" "ENST00000544547.1"
"LIN37-001" "ENST00000301159.8"
"LIN52-001" "ENST00000555028.1"
"LIN54-003" "ENST00000505397.1"
"LIN7A-001" "ENST00000552864.1"
"LIN7C-002" "ENST00000278193.2"
"LIN9-002" "ENST00000366808.1"
"LINS-001" "ENST00000314742.8"
"LIPA-001" "ENST00000336233.5"
"LIPE-001" "ENST00000244289.4"
"LIPG-001" "ENST00000261292.4"
"LIPH-001" "ENST00000296252.4"
"LIPT1-204" "ENST00000393477.3"
"LITAF-001" "ENST00000571688.1"
"LIX1L-001" "ENST00000369308.3"
"LLGL1-001" "ENST00000316843.4"
"LLPH-001" "ENST00000266604.2"
"LMAN1-001" "ENST00000251047.5"
"LMAN2-001" "ENST00000303127.7"
"LMAN2L-001" "ENST00000264963.4"
"LMBR1-001" "ENST00000353442.4"
"LMBR1L-001" "ENST00000267102.8"
"LMBRD1-002" "ENST00000370577.3"
"LMBRD2-001" "ENST00000296603.4"
"LMCD1-001" "ENST00000157600.3"
"LMF1-201" "ENST00000399843.2"
"LMF2-002" "ENST00000474879.2"
"LMNA-001" "ENST00000368300.4"
"LMNB1-001" "ENST00000261366.5"
"LMNB2-001" "ENST00000325327.3"
"LMO2-002" "ENST00000395833.3"
"LMO4-001" "ENST00000370544.4"
"LMO7-001" "ENST00000341547.4"
"LMTK2-001" "ENST00000297293.5"
"LNPEP-001" "ENST00000231368.5"
"LNX2-001" "ENST00000316334.3"
"LOH12CR1-001" "ENST00000314565.4"
"LONP1-001" "ENST00000360614.3"
"LONP2-001" "ENST00000285737.4"
"LONRF1-001" "ENST00000398246.3"
"LOXL3-001" "ENST00000264094.3"
"LPAR2-002" "ENST00000407877.3"
"LPAR5-201" "ENST00000431922.1"
"LPAR6-003" "ENST00000378434.3"
"LPCAT1-001" "ENST00000475622.1"
"LPCAT3-001" "ENST00000261407.4"
"LPCAT4-001" "ENST00000314891.6"
"LPGAT1-001" "ENST00000366997.4"
"LPIN1-001" "ENST00000256720.2"
"LPIN2-001" "ENST00000261596.4"
"LPXN-002" "ENST00000395074.2"
"LRBA-201" "ENST00000535741.1"
"LRCH1-004" "ENST00000389797.3"
"LRCH3-001" "ENST00000438796.2"
"LRCH4-001" "ENST00000310300.6"
"LRG1-001" "ENST00000306390.5"
"LRIF1-001" "ENST00000369763.4"
"LRIG1-001" "ENST00000273261.3"
"LRIG2-001" "ENST00000361127.4"
"LRIG3-002" "ENST00000320743.3"
"LRMP-003" "ENST00000354454.3"
"LRP10-001" "ENST00000359591.4"
"LRP12-001" "ENST00000276654.5"
"LRP5-001" "ENST00000294304.7"
"LRP6-001" "ENST00000261349.4"
"LRP8-001" "ENST00000306052.6"
"LRPAP1-001" "ENST00000500728.2"
"LRPPRC-001" "ENST00000260665.7"
"LRR1-001" "ENST00000298288.6"
"LRRC1-003" "ENST00000370888.1"
"LRRC14-001" "ENST00000292524.1"
"LRRC16A-001" "ENST00000329474.6"
"LRRC20-004" "ENST00000355790.4"
"LRRC23-002" "ENST00000443597.2"
"LRRC27-004" "ENST00000368614.3"
"LRRC28-001" "ENST00000301981.3"
"LRRC33-001" "ENST00000328557.4"
"LRRC37B-003" "ENST00000341671.7"
"LRRC40-001" "ENST00000370952.3"
"LRRC41-001" "ENST00000343304.6"
"LRRC42-002" "ENST00000371370.3"
"LRRC45-001" "ENST00000306688.3"
"LRRC47-001" "ENST00000378251.1"
"LRRC49-005" "ENST00000560369.1"
"LRRC57-001" "ENST00000323443.2"
"LRRC58-001" "ENST00000295628.3"
"LRRC59-001" "ENST00000225972.7"
"LRRC61-002" "ENST00000323078.7"
"LRRC8A-002" "ENST00000372599.3"
"LRRC8B-201" "ENST00000358200.4"
"LRRC8C-001" "ENST00000370454.4"
"LRRC8D-001" "ENST00000337338.5"
"LRRCC1-001" "ENST00000360375.3"
"LRRFIP1-002" "ENST00000308482.9"
"LRRFIP2-002" "ENST00000354379.4"
"LRRK1-003" "ENST00000388948.3"
"LRRK2-004" "ENST00000298910.7"
"LRSAM1-006" "ENST00000373322.1"
"LRWD1-001" "ENST00000292616.5"
"LSG1-001" "ENST00000265245.5"
"LSM1-001" "ENST00000311351.4"
"LSM10-001" "ENST00000315732.2"
"LSM11-001" "ENST00000286307.5"
"LSM12-201" "ENST00000293406.3"
"LSM14A-001" "ENST00000544216.3"
"LSM14B-001" "ENST00000279068.6"
"LSM2-001" "ENST00000375661.5"
"LSM3-001" "ENST00000306024.3"
"LSM5-001" "ENST00000450169.2"
"LSM6-007" "ENST00000515311.1"
"LSM7-001" "ENST00000252622.9"
"LSMD1-201" "ENST00000335155.5"
"LSP1-001" "ENST00000381775.1"
"LSR-003" "ENST00000361790.3"
"LSS-002" "ENST00000356396.3"
"LTA-002" "ENST00000454783.1"
"LTA4H-001" "ENST00000228740.2"
"LTB-001" "ENST00000429299.2"
"LTBP3-001" "ENST00000301873.5"
"LTBP4-203" "ENST00000308370.7"
"LTN1-201" "ENST00000361371.4"
"LTV1-001" "ENST00000367576.5"
"LUC7L-003" "ENST00000293872.8"
"LUC7L2-001" "ENST00000354926.4"
"LUC7L3-001" "ENST00000505658.1"
"LUZP1-002" "ENST00000302291.4"
"LXN-001" "ENST00000264265.3"
"LY6E-011" "ENST00000521003.1"
"LY86-001" "ENST00000379953.1"
"LY9-001" "ENST00000263285.4"
"LY96-001" "ENST00000284818.2"
"LYAR-001" "ENST00000343470.4"
"LYL1-001" "ENST00000264824.4"
"LYN-002" "ENST00000519728.1"
"LYPLA1-001" "ENST00000316963.3"
"LYPLA2-001" "ENST00000374514.3"
"LYPLAL1-001" "ENST00000366928.5"
"LYRM1-006" "ENST00000567954.1"
"LYRM2-002" "ENST00000523377.1"
"LYRM4-001" "ENST00000330636.3"
"LYRM5-201" "ENST00000381356.4"
"LYRM7-001" "ENST00000379380.4"
"LYSMD1-001" "ENST00000368908.5"
"LYSMD2-001" "ENST00000267838.3"
"LYSMD4-201" "ENST00000332728.4"
"LYST-001" "ENST00000389794.3"
"LZIC-005" "ENST00000377213.1"
"LZTFL1-001" "ENST00000296135.6"
"LZTR1-001" "ENST00000215739.8"
"LZTS2-001" "ENST00000370220.1"
"M6PR-001" "ENST00000000412.3"
"MAB21L3-001" "ENST00000369500.3"
"MACC1-002" "ENST00000332878.4"
"MACF1-031" "ENST00000567887.1"
"MACROD1-001" "ENST00000255681.6"
"MACROD2-201" "ENST00000310348.4"
"MAD1L1-003" "ENST00000406869.1"
"MAD2L1-001" "ENST00000296509.5"
"MAD2L1BP-001" "ENST00000372171.4"
"MAD2L2-003" "ENST00000376667.3"
"MADD-006" "ENST00000311027.5"
"MAEA-001" "ENST00000303400.4"
"MAF1-003" "ENST00000532522.1"
"MAFF-001" "ENST00000338483.2"
"MAFG-001" "ENST00000357736.4"
"MAFK-002" "ENST00000403150.1"
"MAGED1-002" "ENST00000375772.3"
"MAGED2-201" "ENST00000218439.4"
"MAGEE1-001" "ENST00000361470.2"
"MAGEF1-001" "ENST00000317897.3"
"MAGEH1-001" "ENST00000342972.1"
"MAGOH-001" "ENST00000371470.3"
"MAGOHB-001" "ENST00000320756.2"
"MAGT1-001" "ENST00000358075.6"
"MAK16-001" "ENST00000360128.5"
"MALSU1-001" "ENST00000466681.1"
"MALT1-001" "ENST00000348428.3"
"MAML1-001" "ENST00000292599.3"
"MAML2-002" "ENST00000440572.2"
"MAN1A1-001" "ENST00000368468.3"
"MAN1A2-001" "ENST00000356554.3"
"MAN1B1-004" "ENST00000371589.4"
"MAN2A1-001" "ENST00000261483.4"
"MAN2A2-001" "ENST00000559717.1"
"MAN2B1-001" "ENST00000456935.2"
"MAN2B2-001" "ENST00000285599.3"
"MAN2C1-001" "ENST00000267978.5"
"MANBA-001" "ENST00000226578.4"
"MANBAL-005" "ENST00000397152.3"
"MANEA-001" "ENST00000358812.4"
"MANEAL-002" "ENST00000373045.6"
"MANF-001" "ENST00000528157.1"
"MAP1B-001" "ENST00000296755.7"
"MAP1LC3B-001" "ENST00000268607.5"
"MAP1S-001" "ENST00000324096.4"
"MAP2K1-001" "ENST00000307102.4"
"MAP2K2-001" "ENST00000262948.5"
"MAP2K3-001" "ENST00000342679.4"
"MAP2K4-002" "ENST00000415385.3"
"MAP2K5-001" "ENST00000178640.5"
"MAP2K6-005" "ENST00000359094.3"
"MAP2K7-002" "ENST00000397979.3"
"MAP3K1-001" "ENST00000399503.3"
"MAP3K11-001" "ENST00000309100.3"
"MAP3K12-002" "ENST00000547488.1"
"MAP3K13-001" "ENST00000265026.3"
"MAP3K2-002" "ENST00000344908.5"
"MAP3K3-001" "ENST00000361357.3"
"MAP3K4-001" "ENST00000392142.4"
"MAP3K5-001" "ENST00000359015.4"
"MAP3K7-002" "ENST00000369329.3"
"MAP3K8-002" "ENST00000375328.1"
"MAP3K9-002" "ENST00000555993.2"
"MAP4-005" "ENST00000426837.2"
"MAP4K1-001" "ENST00000396857.2"
"MAP4K2-001" "ENST00000294066.2"
"MAP4K3-001" "ENST00000263881.3"
"MAP4K4-202" "ENST00000324219.4"
"MAP4K5-001" "ENST00000013125.4"
"MAP7D1-009" "ENST00000373151.2"
"MAP7D3-001" "ENST00000316077.9"
"MAP9-001" "ENST00000311277.4"
"MAPK1-001" "ENST00000215832.6"
"MAPK12-001" "ENST00000215659.8"
"MAPK14-002" "ENST00000229794.4"
"MAPK1IP1L-001" "ENST00000395468.3"
"MAPK3-001" "ENST00000263025.4"
"MAPK6-001" "ENST00000261845.5"
"MAPK7-002" "ENST00000395604.3"
"MAPK8-201" "ENST00000360332.3"
"MAPK8IP3-001" "ENST00000250894.4"
"MAPK9-004" "ENST00000455781.1"
"MAPKAP1-007" "ENST00000350766.3"
"MAPKAPK2-001" "ENST00000367103.3"
"MAPKAPK3-002" "ENST00000446044.1"
"MAPKAPK5-002" "ENST00000551404.1"
"MAPKBP1-001" "ENST00000457542.2"
"MAPRE1-001" "ENST00000375571.5"
"MAPRE2-001" "ENST00000300249.5"
"MARC2-001" "ENST00000366913.3"
"MARCH3-001" "ENST00000308660.5"
"MARCH5-001" "ENST00000358935.2"
"MARCH6-001" "ENST00000274140.4"
"MARCH7-001" "ENST00000259050.3"
"MARCH8-001" "ENST00000395769.2"
"MARCH9-001" "ENST00000266643.5"
"MARCKS-001" "ENST00000368635.4"
"MARCKSL1-001" "ENST00000329421.7"
"MARK2-204" "ENST00000402010.2"
"MARK3-004" "ENST00000303622.9"
"MARK4-001" "ENST00000262891.4"
"MARS-003" "ENST00000262027.5"
"MARS2-001" "ENST00000282276.6"
"MARVELD2-006" "ENST00000325631.5"
"MAST2-001" "ENST00000361297.2"
"MAST3-001" "ENST00000262811.5"
"MASTL-004" "ENST00000375940.4"
"MAT2A-001" "ENST00000306434.3"
"MAT2B-002" "ENST00000321757.6"
"MATR3-013" "ENST00000509990.1"
"MAU2-001" "ENST00000392313.4"
"MAVS-001" "ENST00000428216.2"
"MAX-002" "ENST00000358664.4"
"MAZ-004" "ENST00000219782.6"
"MB21D1-002" "ENST00000370315.3"
"MB21D2-001" "ENST00000392452.2"
"MBD1-205" "ENST00000424334.2"
"MBD2-001" "ENST00000256429.3"
"MBD3-201" "ENST00000156825.1"
"MBD4-001" "ENST00000249910.1"
"MBD5-004" "ENST00000404807.1"
"MBD6-201" "ENST00000431731.2"
"MBIP-001" "ENST00000416007.2"
"MBNL1-201" "ENST00000282486.6"
"MBNL2-202" "ENST00000376673.3"
"MBNL3-002" "ENST00000370853.3"
"MBOAT1-001" "ENST00000324607.7"
"MBOAT2-001" "ENST00000305997.3"
"MBOAT7-001" "ENST00000245615.1"
"MBP-006" "ENST00000397866.4"
"MBTPS1-001" "ENST00000343411.3"
"MBTPS2-001" "ENST00000379484.5"
"MCAT-001" "ENST00000290429.5"
"MCCC1-001" "ENST00000265594.4"
"MCCC2-001" "ENST00000340941.6"
"MCEE-001" "ENST00000244217.5"
"MCFD2-004" "ENST00000409973.1"
"MCL1-001" "ENST00000369026.2"
"MCM10-003" "ENST00000484800.1"
"MCM2-001" "ENST00000265056.7"
"MCM3-201" "ENST00000229854.6"
"MCM3AP-001" "ENST00000397708.1"
"MCM4-004" "ENST00000523944.1"
"MCM5-001" "ENST00000216122.3"
"MCM6-001" "ENST00000264156.2"
"MCM7-001" "ENST00000303887.5"
"MCM8-001" "ENST00000378896.3"
"MCM9-002" "ENST00000316316.5"
"MCMBP-002" "ENST00000360003.3"
"MCOLN1-001" "ENST00000264079.6"
"MCOLN2-001" "ENST00000370608.3"
"MCOLN3-001" "ENST00000370589.1"
"MCPH1-001" "ENST00000344683.5"
"MCRS1-201" "ENST00000546244.1"
"MCTP1-008" "ENST00000312216.8"
"MCTP2-002" "ENST00000357742.4"
"MCTS1-001" "ENST00000371317.5"
"MCU-002" "ENST00000373053.3"
"MDC1-001" "ENST00000376406.3"
"MDFIC-001" "ENST00000393486.1"
"MDH1-201" "ENST00000394423.1"
"MDH2-001" "ENST00000315758.5"
"MDM1-001" "ENST00000303145.7"
"MDM2-001" "ENST00000462284.1"
"MDM4-001" "ENST00000367182.3"
"MDN1-201" "ENST00000428876.1"
"MDP1-004" "ENST00000288087.7"
"ME1-001" "ENST00000369705.3"
"ME2-001" "ENST00000321341.5"
"MEA1-001" "ENST00000244711.3"
"MEAF6-001" "ENST00000296214.5"
"MECP2-001" "ENST00000303391.6"
"MECR-001" "ENST00000263702.6"
"MED1-001" "ENST00000300651.6"
"MED10-001" "ENST00000255764.3"
"MED11-001" "ENST00000293777.5"
"MED12-201" "ENST00000333646.6"
"MED13-001" "ENST00000397786.2"
"MED13L-001" "ENST00000281928.3"
"MED14-005" "ENST00000324817.1"
"MED15-006" "ENST00000382974.2"
"MED16-202" "ENST00000325464.1"
"MED17-001" "ENST00000251871.3"
"MED18-001" "ENST00000373842.4"
"MED19-002" "ENST00000431606.2"
"MED20-001" "ENST00000265350.4"
"MED21-001" "ENST00000282892.3"
"MED22-007" "ENST00000491289.1"
"MED23-001" "ENST00000368068.3"
"MED24-003" "ENST00000394126.1"
"MED25-001" "ENST00000312865.6"
"MED26-001" "ENST00000263390.3"
"MED27-001" "ENST00000292035.5"
"MED28-002" "ENST00000503945.1"
"MED29-001" "ENST00000315588.5"
"MED30-001" "ENST00000297347.3"
"MED31-001" "ENST00000225728.3"
"MED4-001" "ENST00000258648.2"
"MED6-012" "ENST00000554963.1"
"MED7-001" "ENST00000286317.5"
"MED8-007" "ENST00000372457.4"
"MED9-001" "ENST00000268711.3"
"MEF2A-001" "ENST00000354410.5"
"MEF2C-201" "ENST00000504921.2"
"MEF2D-001" "ENST00000348159.4"
"MEGF8-002" "ENST00000251268.6"
"MEGF9-201" "ENST00000426959.1"
"MEI1-001" "ENST00000401548.3"
"MELK-001" "ENST00000298048.2"
"MEMO1-003" "ENST00000404530.1"
"MEN1-003" "ENST00000315422.4"
"MEPCE-001" "ENST00000310512.2"
"MERTK-001" "ENST00000295408.4"
"MESDC2-002" "ENST00000561312.1"
"MEST-001" "ENST00000223215.4"
"METAP1-001" "ENST00000296411.6"
"METAP1D-001" "ENST00000315796.4"
"METAP2-001" "ENST00000323666.5"
"METTL1-001" "ENST00000324871.7"
"METTL10-001" "ENST00000368836.2"
"METTL13-001" "ENST00000361735.3"
"METTL14-001" "ENST00000388822.3"
"METTL15-003" "ENST00000407364.3"
"METTL16-003" "ENST00000576155.1"
"METTL17-001" "ENST00000339374.6"
"METTL18-001" "ENST00000310392.4"
"METTL21A-007" "ENST00000426075.1"
"METTL21D-002" "ENST00000395860.2"
"METTL22-001" "ENST00000381920.3"
"METTL25-001" "ENST00000248306.3"
"METTL2A-001" "ENST00000311506.5"
"METTL2B-001" "ENST00000262432.8"
"METTL3-001" "ENST00000298717.4"
"METTL4-001" "ENST00000574538.1"
"METTL5-001" "ENST00000260953.5"
"METTL6-007" "ENST00000443029.1"
"METTL7A-002" "ENST00000546513.1"
"METTL8-001" "ENST00000375258.3"
"METTL9-001" "ENST00000358154.3"
"MEX3C-001" "ENST00000406189.3"
"MFAP1-001" "ENST00000267812.3"
"MFAP3-001" "ENST00000322602.5"
"MFF-003" "ENST00000304593.9"
"MFGE8-015" "ENST00000566497.1"
"MFHAS1-001" "ENST00000276282.6"
"MFI2-003" "ENST00000296350.5"
"MFN1-001" "ENST00000471841.1"
"MFN2-001" "ENST00000235329.5"
"MFNG-001" "ENST00000356998.3"
"MFSD1-201" "ENST00000264266.7"
"MFSD10-010" "ENST00000329687.4"
"MFSD11-005" "ENST00000336509.4"
"MFSD12-011" "ENST00000398558.4"
"MFSD2A-001" "ENST00000372811.5"
"MFSD5-001" "ENST00000329548.4"
"MFSD6-201" "ENST00000281416.7"
"MFSD8-001" "ENST00000296468.3"
"MFSD9-001" "ENST00000258436.5"
"MGA-201" "ENST00000219905.7"
"MGAT1-001" "ENST00000333055.3"
"MGAT2-001" "ENST00000305386.2"
"MGAT3-001" "ENST00000341184.6"
"MGAT4B-001" "ENST00000292591.7"
"MGAT5-001" "ENST00000409645.1"
"MGEA5-003" "ENST00000361464.3"
"MGLL-001" "ENST00000434178.2"
"MGMT-001" "ENST00000306010.7"
"MGRN1-004" "ENST00000399577.5"
"MGST1-201" "ENST00000010404.2"
"MGST2-001" "ENST00000265498.1"
"MGST3-004" "ENST00000367884.1"
"MIA3-001" "ENST00000344922.5"
"MIB1-001" "ENST00000261537.6"
"MIB2-016" "ENST00000505820.2"
"MICA-001" "ENST00000364810.3"
"MICAL1-001" "ENST00000358807.3"
"MICAL2-001" "ENST00000256194.4"
"MICALL1-001" "ENST00000215957.6"
"MICB-001" "ENST00000252229.6"
"MICU1-203" "ENST00000401998.3"
"MID1IP1-001" "ENST00000336949.6"
"MIDN-201" "ENST00000300952.2"
"MIEN1-001" "ENST00000394231.3"
"MIER1-002" "ENST00000355356.3"
"MIER2-001" "ENST00000264819.4"
"MIER3-003" "ENST00000381226.3"
"MIF-001" "ENST00000215754.7"
"MIF4GD-002" "ENST00000325102.8"
"MIIP-001" "ENST00000235332.4"
"MINA-001" "ENST00000394198.2"
"MINK1-001" "ENST00000355280.6"
"MINOS1-001" "ENST00000322753.6"
"MINPP1-001" "ENST00000371996.4"
"MIOS-001" "ENST00000340080.4"
"MIPEP-001" "ENST00000382172.3"
"MIS12-002" "ENST00000573759.1"
"MIS18A-001" "ENST00000290130.3"
"MIS18BP1-001" "ENST00000310806.4"
"MITD1-001" "ENST00000289359.2"
"MKI67-001" "ENST00000368654.3"
"MKI67IP-001" "ENST00000285814.4"
"MKKS-001" "ENST00000347364.2"
"MKL1-003" "ENST00000407029.1"
"MKL2-001" "ENST00000571589.1"
"MKLN1-001" "ENST00000352689.6"
"MKNK1-001" "ENST00000371946.4"
"MKNK2-201" "ENST00000250896.3"
"MKRN1-001" "ENST00000255977.2"
"MKRN2-001" "ENST00000170447.7"
"MKS1-003" "ENST00000393119.2"
"MLEC-001" "ENST00000228506.3"
"MLF1IP-001" "ENST00000281453.5"
"MLF2-201" "ENST00000435120.1"
"MLH1-001" "ENST00000231790.2"
"MLH3-201" "ENST00000355774.2"
"MLKL-001" "ENST00000308807.7"
"MLL-001" "ENST00000534358.1"
"MLL2-001" "ENST00000301067.7"
"MLL3-201" "ENST00000355193.2"
"MLL5-003" "ENST00000476671.1"
"MLLT1-001" "ENST00000252674.7"
"MLLT10-002" "ENST00000307729.7"
"MLLT11-001" "ENST00000368921.3"
"MLLT3-202" "ENST00000429426.2"
"MLLT4-003" "ENST00000400822.3"
"MLLT6-002" "ENST00000378137.5"
"MLST8-003" "ENST00000397124.1"
"MLTK.1-001" "ENST00000375213.3"
"MLX-001" "ENST00000246912.4"
"MLXIP-001" "ENST00000319080.6"
"MLYCD-001" "ENST00000262430.4"
"MMAA-001" "ENST00000281317.5"
"MMAB-001" "ENST00000545712.1"
"MMACHC-001" "ENST00000401061.4"
"MMADHC-001" "ENST00000428879.1"
"MMD-001" "ENST00000262065.3"
"MMGT1-001" "ENST00000305963.2"
"MMP7-001" "ENST00000260227.4"
"MMRN1-001" "ENST00000394980.1"
"MMS19-006" "ENST00000370782.1"
"MMS22L-001" "ENST00000275053.4"
"MNAT1-001" "ENST00000261245.4"
"MND1-001" "ENST00000240488.3"
"MNDA-001" "ENST00000368141.4"
"MNF1-001" "ENST00000374231.3"
"MNS1-001" "ENST00000260453.3"
"MNT-201" "ENST00000404961.2"
"MOAP1-001" "ENST00000298894.4"
"MOB1A-001" "ENST00000396049.3"
"MOB1B-001" "ENST00000309395.2"
"MOB2-001" "ENST00000329957.6"
"MOB3A-001" "ENST00000357066.3"
"MOB3C-201" "ENST00000319928.3"
"MOB4-001" "ENST00000323303.4"
"MOCS2-001" "ENST00000396954.3"
"MOCS3-001" "ENST00000244051.1"
"MOGS-001" "ENST00000233616.4"
"MON1A-001" "ENST00000296473.3"
"MON1B-001" "ENST00000248248.3"
"MON2-001" "ENST00000393632.2"
"MORC2-001" "ENST00000397641.2"
"MORC3-001" "ENST00000400485.1"
"MORF4L1-002" "ENST00000426013.2"
"MORF4L2-011" "ENST00000360458.1"
"MORN1-001" "ENST00000378531.3"
"MORN2-002" "ENST00000409665.1"
"MOSPD1-003" "ENST00000370777.1"
"MOSPD2-001" "ENST00000380492.3"
"MOV10-001" "ENST00000413052.2"
"MOXD1-002" "ENST00000367963.3"
"MPC1-201" "ENST00000341756.6"
"MPC2-001" "ENST00000367846.4"
"MPDU1-001" "ENST00000250124.6"
"MPEG1-001" "ENST00000361050.3"
"MPG-001" "ENST00000219431.4"
"MPHOSPH10-001" "ENST00000244230.2"
"MPHOSPH6-001" "ENST00000258169.4"
"MPHOSPH8-201" "ENST00000414242.2"
"MPHOSPH9-001" "ENST00000541076.1"
"MPI-001" "ENST00000352410.4"
"MPLKIP-001" "ENST00000306984.5"
"MPND-001" "ENST00000262966.8"
"MPP1-006" "ENST00000369534.3"
"MPP5-001" "ENST00000261681.4"
"MPP6-001" "ENST00000222644.4"
"MPPE1-016" "ENST00000344987.7"
"MPRIP-001" "ENST00000395811.4"
"MPST-001" "ENST00000429360.2"
"MPV17-001" "ENST00000233545.2"
"MPV17L2-201" "ENST00000247712.7"
"MPZL1-001" "ENST00000359523.2"
"MPZL3-002" "ENST00000527472.1"
"MR1-001" "ENST00000367580.5"
"MRE11A-001" "ENST00000323929.3"
"MREG-001" "ENST00000263268.6"
"MRFAP1-007" "ENST00000507420.1"
"MRFAP1L1-001" "ENST00000320848.6"
"MRGBP-001" "ENST00000370487.3"
"MRI1-002" "ENST00000040663.6"
"MRM1-001" "ENST00000250156.7"
"MRP63-001" "ENST00000309594.4"
"MRPL1-001" "ENST00000315567.8"
"MRPL10-001" "ENST00000351111.2"
"MRPL11-001" "ENST00000310999.7"
"MRPL12-001" "ENST00000333676.3"
"MRPL13-001" "ENST00000306185.3"
"MRPL14-001" "ENST00000372014.3"
"MRPL15-001" "ENST00000260102.4"
"MRPL16-001" "ENST00000300151.4"
"MRPL17-001" "ENST00000288937.6"
"MRPL18-001" "ENST00000367034.4"
"MRPL19-002" "ENST00000409374.1"
"MRPL2-001" "ENST00000388752.3"
"MRPL20-001" "ENST00000344843.7"
"MRPL21-001" "ENST00000362034.2"
"MRPL22-001" "ENST00000523037.1"
"MRPL23-001" "ENST00000397298.3"
"MRPL24-002" "ENST00000368211.4"
"MRPL27-001" "ENST00000225969.4"
"MRPL28-001" "ENST00000397735.3"
"MRPL3-001" "ENST00000264995.2"
"MRPL32-001" "ENST00000223324.2"
"MRPL33-001" "ENST00000296102.3"
"MRPL34-001" "ENST00000252602.1"
"MRPL35-001" "ENST00000337109.4"
"MRPL36-002" "ENST00000508987.1"
"MRPL37-001" "ENST00000360840.5"
"MRPL38-001" "ENST00000309352.3"
"MRPL39-002" "ENST00000307301.7"
"MRPL4-201" "ENST00000307422.5"
"MRPL40-002" "ENST00000443660.1"
"MRPL41-001" "ENST00000371443.5"
"MRPL42-007" "ENST00000549561.1"
"MRPL43-004" "ENST00000318364.8"
"MRPL44-001" "ENST00000258383.3"
"MRPL45-001" "ENST00000312513.5"
"MRPL46-001" "ENST00000312475.4"
"MRPL47-001" "ENST00000476781.1"
"MRPL48-001" "ENST00000310614.7"
"MRPL49-004" "ENST00000526319.1"
"MRPL50-001" "ENST00000374865.4"
"MRPL51-001" "ENST00000229238.3"
"MRPL52-003" "ENST00000355151.5"
"MRPL53-001" "ENST00000258105.7"
"MRPL54-001" "ENST00000330133.4"
"MRPL55-008" "ENST00000295008.4"
"MRPL9-001" "ENST00000368830.3"
"MRPS10-001" "ENST00000053468.3"
"MRPS11-001" "ENST00000325844.4"
"MRPS12-004" "ENST00000402029.3"
"MRPS14-001" "ENST00000476371.1"
"MRPS15-001" "ENST00000373116.5"
"MRPS16-001" "ENST00000372945.3"
"MRPS18A-003" "ENST00000372133.3"
"MRPS18B-001" "ENST00000259873.4"
"MRPS18C-001" "ENST00000295491.4"
"MRPS2-201" "ENST00000241600.5"
"MRPS21-001" "ENST00000309092.7"
"MRPS22-001" "ENST00000495075.1"
"MRPS23-001" "ENST00000313608.8"
"MRPS24-001" "ENST00000317534.5"
"MRPS25-001" "ENST00000253686.2"
"MRPS26-001" "ENST00000380325.3"
"MRPS27-001" "ENST00000261413.5"
"MRPS28-001" "ENST00000276585.4"
"MRPS30-001" "ENST00000507110.1"
"MRPS31-001" "ENST00000323563.6"
"MRPS34-001" "ENST00000397375.2"
"MRPS35-001" "ENST00000081029.3"
"MRPS36-001" "ENST00000256441.4"
"MRPS5-001" "ENST00000272418.2"
